channel_id,tvg_ids

Canal.2.de.República.Dominicana.(Teleantillas).do,TeleAntillas.do@SD

Canal.5.de.República.Dominicana.(Telemicro).do,Telemicro.do@SD

Canal.7.de.Antena.Latina.(República.Dominicana).do,Antena7.do@SD

Canal.9.de.Color.Visión.(República.Dominicana).do,ColorVision.do@SD

Canal.Telesistema.11.(República.Dominicana).do,Telesistema11.do@SD

Canal.Telecentro.(13.de.República.Dominicana).do,Telecentro.do@SD

Canal.15.(Digital.Quince.Telemicro).(República.Dominicana).do,Digital15.do@SD

Canal.29.de.TeleUniverso.(República.Dominicana).do,Teleuniverso.do@SD

Canal.37.de.República.Dominicana.(CDN).do,CDN.do@SD

Canal.A&E.(República.Dominicana).do

Canal.AMC.(República.Dominicana).do

Canal.Animal.Planet.(República.Dominicana).do

Canal.AXN.(República.Dominicana).do

Canal.Cartoon.Network.(República.Dominicana).do

Canal.Cartoonito.(República.Dominicana).do

Canal.CDN.Deportes.do

Canal.Cinecanal.(República.Dominicana).do,CinevisionCanal19.do@SD

Canal.Cinemax.(República.Dominicana).do,CinevisionCanal19.do@SD

Canal.Comedy.Central.(República.Dominicana).do

Canal.Discovery.Channel.(República.Dominicana).do

Canal.Discovery.Home.&.Health.(República.Dominicana).do

Canal.Discovery.Kids.(República.Dominicana).do

Canal.Disney.Channel.(República.Dominicana).do

Canal.E!.Entertainment.Television.(República.Dominicana).do

Canal.ESPN.(República.Dominicana).do

Canal.ESPN.2.(República.Dominicana).do

Canal.ESPN.3.(República.Dominicana).do

Canal.ESPN.4.(República.Dominicana).do

Canal.ESPN.5.(República.Dominicana).do

Canal.ESPN.6.(República.Dominicana).do

Canal.FX.(República.Dominicana).do

Canal.Golden.(República.Dominicana).do

Canal.HBO.(República.Dominicana).do

Canal.History.(República.Dominicana).do

Canal.History.2.(República.Dominicana).do

Canal.Lifetime.(República.Dominicana).do

Canal.MTV.(República.Dominicana).do

Canal.National.Geographic.(República.Dominicana).do

Canal.Nick.Jr..(República.Dominicana).do

Canal.Nickelodeon.(República.Dominicana).do

Canal.Paramount.Channel.(República.Dominicana).do

Canal.Sony.(República.Dominicana).do

Canal.Space.(República.Dominicana).do

Canal.Star.Channel.(República.Dominicana).do

Canal.TCM.(República.Dominicana).do

Canal.Telemundo.(República.Dominicana).do

Canal.Teleunion.(República.Dominicana).do

Canal.Televisión.Dominicana.do,ClaroTelevisionDominicana.do@SD

Canal.TLC.(República.Dominicana).do

Canal.TNT.(República.Dominicana).do

Canal.TNT.Novelas.(República.Dominicana).do

Canal.TNT.Series.(República.Dominicana).do

Canal.Universal.TV.(República.Dominicana).do

Canal.Univisión.(República.Dominicana).do

Canal.USA.Network.(República.Dominicana).do

Canal.Warner.TV.(República.Dominicana).do
